Batch_No,EC50_nM,Set,Molecular_Weight,ALogP,ID,ROMol,hERG_Prediction,hERG_Probability,Risk_Level
MS-0379,555,Probe-like,282.5509,2.867,MMV665927,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111CB0>,1,0.695,MEDIUM
5300-0193,ND,Probe-like,261.32286,1.291,MMV667486,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111D20>,1,0.56375,MEDIUM
STK706994,373,Probe-like,494.54443,2.021,MMV667488,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111D90>,1,0.735,MEDIUM
STK839722,467,Probe-like,320.3883,3.21,MMV006825,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111E00>,1,0.84,HIGH
STK843110,795,Probe-like,410.41987,1.009,MMV009085,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111E70>,1,0.6983333333333333,MEDIUM
STK539983,ND,Probe-like,496.68135,4.959,MMV007591,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111EE0>,1,0.545,MEDIUM
STK325163,1790,Probe-like,321.79859,3.661,MMV128432,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111F50>,1,0.795,MEDIUM
OSSK_264366,1160,Probe-like,350.02742,5.18,MMV665852,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111FC0>,1,0.56,MEDIUM
OSSK_587114,916,Probe-like,491.94122,6.294,MMV396717,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112030>,1,0.605,MEDIUM
OSSL_144797,385,Probe-like,243.21662,-2.396,MMV638723,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1120A0>,1,0.5175,MEDIUM
ASN 4888204,1060,Probe-like,490.66015,5.523,MMV396594,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112110>,1,0.725,MEDIUM
F0779-0435,898,Probe-like,420.48089,4.7,MMV396665,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112180>,1,0.745,MEDIUM
STK530593,1240,Probe-like,431.35815,4.799,MMV396723,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1121F0>,1,0.8530000000000001,HIGH
STK662230,ND,Probe-like,308.44049,5.631,MMV007654,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112260>,1,0.5733333333333334,MEDIUM
STK001666,646,Probe-like,289.3312,3.473,MMV011832,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1122D0>,1,0.675,MEDIUM
STK743323,1180,Probe-like,372.4165,5.124,MMV020750,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112340>,1,0.675,MEDIUM
STK699776,1200,Probe-like,662.85856,4.799,MMV007092,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1123B0>,1,0.9,HIGH
OSSK_336634,1220,Probe-like,403.43054,4.006,MMV665898,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112420>,1,0.735,MEDIUM
OSSK_797266,706,Probe-like,294.43889,2.708,MMV665864,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112490>,0,0.42875,LOW
OSSL_268118,1010,Probe-like,419.47453,5.727,MMV665814,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112500>,1,0.635,MEDIUM
7653046,4000,Probe-like,298.7668,4.563,MMV007285,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112570>,1,0.8120833333333333,HIGH
OSSK_262196,1020,Probe-like,485.64034,5.62,MMV396663,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1125E0>,1,0.805,HIGH
STK070253,4000,Probe-like,341.40906,4.562,MMV007041,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112650>,1,0.705,MEDIUM
STK054125,694.5,Probe-like,216.322,2.969,MMV000340,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1126C0>,0,0.465,LOW
STK323540,782,Probe-like,394.42048,3.28,MMV666687,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112730>,1,0.695,MEDIUM
STL024548,890,Probe-like,341.4256,4.829,MMV645672,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1127A0>,1,0.665,MEDIUM
STK039514,326.5,Probe-like,546.58758,6.116,MMV011438,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112810>,1,0.67,MEDIUM
OSSK_368554,838,Probe-like,382.24272,5.384,MMV665840,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112880>,1,0.675,MEDIUM
OSSK_807336,536,Probe-like,303.37937,2.806,MMV665894,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1128F0>,0,0.47,LOW
OSSL_322694,4000,Probe-like,284.74352,3.765,MMV011522,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112960>,1,0.6516666666666666,MEDIUM
G869-0914,1150,Probe-like,362.42828,2.542,MMV020243,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1129D0>,1,0.73,MEDIUM
STK119631,939,Probe-like,389.87409,5.421,MMV667489,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112A40>,1,0.64,MEDIUM
STK675349,1330,Probe-like,352.43345,2.446,MMV396770,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112AB0>,1,0.725,MEDIUM
STK318552,676.5,Probe-like,367.48126,4.254,MMV009015,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112B20>,1,0.613,MEDIUM
STK703735,1109,Probe-like,393.48207,2.431,MMV008829,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112B90>,1,0.7366666666666667,MEDIUM
STK391667,842,Probe-like,524.57196,6.338,MMV011895,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112C00>,1,0.53,MEDIUM
STK747756,532,Probe-like,472.4561,3.952,MMV666689,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112C70>,1,0.505,MEDIUM
OSSK_377066,ND,Probe-like,286.32726,4.27,MMV665824,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112CE0>,1,0.615,MEDIUM
OSSK_925769,ND,Probe-like,255.35473,3.382,MMV665812,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112D50>,1,0.81,HIGH
OSSL_323949,590,Probe-like,349.21456,3.486,MMV001041,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA112DC0>,1,0.7666666666666666,MEDIUM
